AC,O2Hb,HHB,HTb,HB_diff,TSI,PI
0.1514178,8.94236412,19.71018334,28.65244712,-10.76781845,95.1279068,0.3
0.1521063,8.86232978,19.80961629,28.67184716,-10.94728631,95.20018615,0.3
0.1033268,8.8010764,19.92455789,28.72553329,-11.12348117,95.24554977,0.3
0.1598921,8.7479311,20.05619754,28.80402927,-11.30826655,95.26051102,0.3
0.159892,8.6679183,20.1360815,28.80389919,-11.46816303,95.31929551,0.26
0.209361,8.58623638,20.25563509,28.84177208,-11.66939877,95.35493011,0.23
0.2629585,8.50675288,20.36847132,28.87512435,-11.861718,95.34256819,0.14
0.2565489,8.429280957,20.43277634,28.86195646,-12.0034955,95.35948507,0.07
0.2961664,,,,,,
0.2778416,,,,,,
0.4961043,,,,,,
0.5977936,,,,,,
0.6401634,,,,,,
0.582222,,,,,,
0.6401634,,,,,,
0.556799,,,,,,
0.5137405,,,,,,
0.513052,,,,,,
0.4967918,,,,,,
0.4706812,,,,,,
0.3195238,,,,,,
0.2001972,,,,,,
0.198821,,,,,,
0.1140795,,,,,,
0.1211777,,,,,,
0.1062937,,,,,,
0.0611696,,,,,,
0.1191129,,,,,,
0.1523199,,,,,,
0.1353721,,,,,,
0.1262102,,,,,,
0.1225538,,,,,,
0.138814,,,,,,
0.1204881,,,,,,
0.1204891,,,,,,
0.0971317,,,,,,
0.1218653,,,,,,
0.188282,,,,,,
0.2327175,,,,,,
0.2666139,,,,,,
0.2411918,,,,,,
0.2432566,,,,,,
0.233406,,,,,,
0.2256203,,,,,,
0.1381254,,,,,,
0.0597934,,,,,,
0.0329943,,,,,,
0.0146694,,,,,,
0.0224552,,,,,,
0.019227,,,,,,
0.0574675,,,,,,
0.1515846,,,,,,
0.200365,,,,,,
0.1932678,,,,,,
0.2159367,,,,,,
0.3036451,,,,,,
0.3588342,,,,,,
0.375782,,,,,,
0.2894497,,,,,,
0.2555542,,,,,,
0.2321959,,,,,,
0.2782221,,,,,,
0.2541771,,,,,,
0.1522742,,,,,,
0.1367026,,,,,,
0.1444883,,,,,,
0.1600589,,,,,,
0.1529618,,,,,,
0.1678448,,,,,,
0.1515847,,,,,,
0.1360139,,,,,,
0.1431112,,,,,,
0.1657801,,,,,,
0.1437998,,,,,,
0.1671562,,,,,,
0.2358522,,,,,,
0.2202807,,,,,,
0.2209682,,,,,,
0.2294426,,,,,,
0.2379169,,,,,,
0.1996774,,,,,,
0.136014,,,,,,
0.174943,,,,,,
0.1989879,,,,,,
