690i,750i,800i,850i,690ii,750ii,800ii,850ii,label,d690,d750,d800,d850,ai690,si690
0.11928,0.12137,0.12165,0.12405,0.059439,0.055984,0.057631,0.054294,1,-0.048851,-0.042446,-0.041896,-0.039902,0.92591,
0.11345,0.11599,0.11658,0.11918,0.062186,0.058845,0.060193,0.056337,1,-0.04626,-0.040037,-0.039083,-0.036189,0.96218,
0.10784,0.11109,0.11254,0.11438,0.065655,0.061901,0.063593,0.059108,1,-0.047857,-0.039054,-0.036705,-0.037998,1,
0.10369,0.1052,0.10595,0.10729,0.067347,0.062539,0.064299,0.060188,1,-0.04776,-0.04209,-0.040186,-0.040768,0.97906,
0.099544,0.10012,0.10217,0.10351,0.068929,0.065955,0.067568,0.062842,1,-0.047031,-0.04106,-0.037695,-0.037847,0.96632,
0.095173,0.097469,0.098235,0.099171,0.072564,0.068668,0.069982,0.066764,1,-0.043834,-0.038089,-0.036595,-0.035265,0.97326,
0.09118,0.091939,0.093181,0.095577,0.075117,0.070826,0.073021,0.06923,1,-0.04229,-0.037866,-0.036499,-0.033632,0.96983,
0.087841,0.088665,0.090414,0.091864,0.078308,0.074978,0.075747,0.072165,1,-0.041242,-0.034126,-0.033513,-0.032545,0.94023,
0.084313,0.084526,0.086374,0.087164,0.081,0.077838,0.07803,0.074302,1,-0.039055,-0.035036,-0.032593,-0.032855,0.92793,
0.079924,0.080998,0.081716,0.083383,0.083553,0.078885,0.08143,0.076979,1,-0.037508,-0.035031,-0.034278,-0.033176,0.9713,
0.076327,0.076859,0.078811,0.079636,0.086134,0.082889,0.084402,0.079515,1,-0.04059,-0.033905,-0.032782,-0.031818,0.97988,
