690,750,800,850,ua,690i,750i,800i,850i,uaa,690n,750n,800n,850n,690ni,750ni,800ni,850ni
2175,1987,2075,2034,0.6507,27449,46047,46019,32261,0.4055,,,,,,,,
2107,1974,2037,2002,0.7177,28476,47614,47625,33410,0.4901,,,,,,,,
2081,1922,2040,1975,0.7305,29329,49354,49357,34656,0.4872,,,,,,,,
2056,1935,1990,1967,0.7158,30415,51294,51042,36040,0.5802,,,,,,,,
2052,1884,1970,1944,0.6956,31570,53172,52694,37441,0.6795,,,,,,,,
2022,1860,1954,1907,0.7001,32700,54917,54613,38738,0.3807,,,,,,,,
1977,1844,1944,1868,0.6822,33797,56644,56402,39933,0.3342,,,,,,,,
1989,1792,1926,1890,0.6795,34997,58452,58519,41292,0.5185,,,,,,,,
1947,1792,1871,1870,0.7144,36218,60441,60514,42830,0.3638,,,,,,,,
1940,1782,1881,1838,0.6724,37528,63012,62810,44155,0.5362,,,,,,,,
65108,64567,65164,64849,0.2995,1546,1936,2058,1558,0.1823,,,,,,,,
64706,61735,64216,63423,0.2027,1561,1937,2067,1577,0.0997,,,,,,,,
59862,59248,59676,59657,0.545,1614,1941,2080,1596,0,,,,,,,,
58095,57361,57684,57781,0.3283,1557,1992,2128,1596,0.4951,,,,,,,,
55892,55332,55681,55877,0.4629,1589,1997,2157,1650,0.5479,,,,,,,,
53976,53365,53967,53850,0.3337,1603,2048,2158,1658,0.304,,,,,,,,
52187,51619,52088,51961,0.6106,1633,2018,2172,1636,0.4579,,,,,,,,
50362,49883,50123,50270,0.5095,1685,2050,2219,1660,0.1158,,,,,,,,
48566,48038,48477,48326,0.4398,1626,2078,2261,1655,0.678,,,,,,,,
46774,46422,46696,46695,0.3794,1699,2144,2281,1696,0.029,,,,,,,,
45253,44678,45022,45142,0.4659,1665,2140,2288,1702,0.3598,,,,,,,,
43621,42961,43450,43404,0.4271,1717,2161,2344,1728,0.2636,,,,,,,,
42116,41292,42035,41765,0.3645,1717,2190,2354,1740,0.3052,,,,,,,,
40650,39990,40513,40351,0.3164,1716,2189,2322,1777,0.3951,,,,,,,,
39310,38655,39092,39026,0.2447,1739,2268,2384,1772,0.2488,,,,,,,,
37852,37094,37647,37393,0.2564,1746,2285,2453,1788,0.5529,,,,,,,,
36556,35699,36268,36092,0.2176,1788,2327,2469,1854,0.3459,,,,,,,,
35376,34532,35109,34804,0.1578,1765,2346,2511,1828,0.4751,,,,,,,,
34115,33461,33798,33572,0.1601,1804,2376,2496,1871,0.4788,,,,,,,,
32882,32076,32677,32438,0.1556,1808,2428,2537,1876,0.4101,,,,,,,,
31821,31103,31454,31372,0.1317,1850,2442,2578,1911,0.4842,,,,,,,,
30653,29849,30272,30055,0.1429,1832,2485,2616,1917,0.5499,,,,,,,,
