690i,750i,800i,850i,690ii,750ii,800ii,850ii,label,ai690
0.3926,0.46649,0.46677,0.46813,0.24419,0.0080248,0.0080855,0.0082779,1,0.08124
0.37616,0.44694,0.44851,0.44765,0.29402,0.0091689,0.0091408,0.0091032,1,0.21044
0.35935,0.43137,0.43298,0.43117,0.22752,0.0090709,0.0099851,0.0097534,1,0.13393
0.34303,0.41385,0.41706,0.4162,0.34426,0.0097246,0.010456,0.010104,1,0.082698
0.32973,0.39747,0.40046,0.39942,0.24324,0.0098063,0.010911,0.010779,1,0.093955
0.31316,0.38523,0.38524,0.38686,0.23389,0.011571,0.010975,0.010879,1,0.16514
0.30207,0.37043,0.3721,0.372,0.23818,0.012748,0.012534,0.01303,1,0.12089
0.28825,0.35576,0.357,0.35553,0.31152,0.012291,0.012339,0.011479,1,0.13972
0.27342,0.34502,0.34341,0.34434,0.23593,0.013222,0.013151,0.01438,1,0.14175
0.26134,0.33275,0.33127,0.33364,0.27747,0.014088,0.013654,0.01448,1,0.16207
0.24815,0.31962,0.31899,0.32024,0.31868,0.01484,0.015473,0.015455,1,0.22695
0.23778,0.30817,0.30866,0.30768,0.31553,0.01569,0.015798,0.015756,1,0.2027
0.22847,0.29631,0.29703,0.29684,0.38235,0.016442,0.017275,0.017106,1,0.15341
