ir690,ia,ir6902,ia2,tir690_ctr,tir690_ctr2,tir690_left,tir690_right,iir690,iia,iir6902,iia2,tii690_ctr,tii690_ctr2,tii690_left,tii690_right
12975,0.61516,,,,,,,,,,,,,,
12620,0.622,,,,,,,,,,,,,,
12227,0.63205,,,,,,,,,,,,,,
11897,0.6251,,,,,,,,,,,,,,
11501,0.67827,,,,,,,,,,,,,,
11210,0.6048,,,,,,,,,,,,,,
10909,0.71834,,,,,,,,,,,,,,
10595,0.67329,,,,,,,,,,,,,,
10287,0.72057,,,,,,,,,,,,,,
10065,0.68087,,,,,,,,,,,,,,
9752,0.71251,,,,,,,,,,,,,,
9523,0.67963,,,,,,,,,,,,,,
9214,0.72766,,,,,,,,,,,,,,
8959,0.70507,,,,,,,,,,,,,,
8795,0.74949,,,,,,,,,,,,,,
8513,0.78052,,,,,,,,,,,,,,
8284,0.81827,,,,,,,,,,,,,,
8053,0.78944,,,,,,,,,,,,,,
7813,0.80698,,,,,,,,,,,,,,
7635,0.839,,,,,,,,,,,,,,
7413,0.86512,,,,,,,,,,,,,,
7228,0.83941,,,,,,,,,,,,,,
7026,0.87534,,,,,,,,,,,,,,
6836,0.88642,,,,,,,,,,,,,,
6653,0.89472,,,,,,,,,,,,,,
6495,0.89837,,,,,,,,,,,,,,
6347,0.92189,,,,,,,,,,,,,,
6171,0.92775,,,,,,,,,,,,,,
5997,0.94665,,,,,,,,,,,,,,
5813,0.90915,,,,,,,,,,,,,,
5680,0.9346,,,,,,,,,,,,,,
5514,0.95377,,,,,,,,,,,,,,
5401,0.96781,,,,,,,,,,,,,,
5264,0.95557,,,,,,,,,,,,,,
5088,0.97825,,,,,,,,,,,,,,
4977,0.9695,,,,,,,,,,,,,,
4897,0.96003,,,,,,,,,,,,,,
4723,0.99731,,,,,,,,,,,,,,
4588,0.97396,,,,,,,,,,,,,,
4518,1,,,,,,,,,,,,,,
4415,0.96004,,,,,,,,,,,,,,
4366,0.91446,,,,,,,,,,,,,,
4191,0.9868,,,,,,,,,,,,,,
4114,0.95845,,,,,,,,,,,,,,
3971,0.93258,,,,,,,,,,,,,,
3895,0.95611,,,,,,,,,,,,,,
3803,0.95113,,,,,,,,,,,,,,
3710,0.95203,,,,,,,,,,,,,,
3617,0.9351,,,,,,,,,,,,,,
3555,0.92053,,,,,,,,,,,,,,
3493,0.86258,,,,,,,,,,,,,,
3344,0.8999,,,,,,,,,,,,,,
3305,0.90632,,,,,,,,,,,,,,
3233,0.91401,,,,,,,,,,,,,,
3141,0.90671,,,,,,,,,,,,,,
3105,0.89166,,,,,,,,,,,,,,
3004,0.88704,,,,,,,,,,,,,,
2940,0.8975,,,,,,,,,,,,,,
2895,0.86288,,,,,,,,,,,,,,
2793,0.83477,,,,,,,,,,,,,,
2759,0.85569,,,,,,,,,,,,,,
2730,0.86701,,,,,,,,,,,,,,
2644,0.82919,,,,,,,,,,,,,,
2636,0.86469,,,,,,,,,,,,,,
2569,0.88866,,,,,,,,,,,,,,
