O2Hb,HHB,THb,HB_diff,TSI
1.9438646,-1.0638386,0.879926,3.0077031,94.7368546
1.8937082,-1.0802407,0.8133675,2.973949,94.749054
1.9431763,-1.0805908,0.8624853,3.023767,94.6182175
2.1417367,-1.0652392,1.0763975,3.2069759,94.6043625
2.1827307,-1.071115,1.1115155,3.2538457,94.6043625
2.1410484,-1.0819914,1.0589569,3.2230399,94.6594467
2.1078403,-1.0873421,1.020398,3.1951823,94.6520386
2.0576837,-1.1037443,0.9538395,3.161428,94.6589127
1.9990534,-1.1256721,0.8732812,3.1247253,94.805191
1.982105,-1.1367236,0.8452815,3.1188288,94.7368546
2.1728797,-1.1101453,1.0626343,3.283025,94.5958405
2.2718158,-1.1108457,1.1608702,3.3826613,94.5810165
2.2463934,-1.1274228,1.1188706,3.3738163,94.5810165
2.2294452,-1.1384743,1.0908709,3.3679194,94.6182175
2.1955488,-1.1605773,1.0348715,3.3561261,94.686882
2.1453924,-1.1769794,0.9683129,3.3223717,94.6809311
2.0952361,-1.1933815,0.9017544,3.2886176,94.6670761
2.1114957,-1.1990824,0.9123135,3.3105781,94.6899185
2.3347902,-1.1839057,1.1507846,3.5186961,94.5638275
2.3934207,-1.1619779,1.2313429,3.5553987,94.5325775
2.3595243,-1.1840808,1.1753435,3.5436051,94.548111
2.317842,-1.1949573,1.1227849,3.5127993,94.6395874
2.2676857,-1.2113594,1.0562264,3.4790449,94.7058182
2.2260034,-1.2222358,1.0036677,3.4482391,94.6182175
2.192107,-1.2443388,0.9476683,3.4364457,94.6967621
2.2747831,-1.2393382,1.035345,3.5141213,94.6201401
2.4570837,-1.2182857,1.238698,3.6753693,94.4842911
2.4726553,-1.2407387,1.2318164,3.7133939,94.5706711
2.4394472,-1.2460895,1.1932577,3.6855364,94.6359863
2.4147131,-1.2459143,1.1686987,3.6606274,94.6339951
2.3730309,-1.2567908,1.11614,3.6298215,94.6905212
2.3553941,-1.2845945,1.0706997,3.6399887,94.6339951
2.34692,-1.2901202,1.0566999,3.6370404,94.6447678
2.5376947,-1.2635421,1.2740527,3.8012369,94.5410995
2.6196826,-1.2752937,1.3442888,3.8949764,94.6208725
2.5780003,-1.2861701,1.2917302,3.8641706,94.6186829
2.5532663,-1.2859951,1.2671713,3.8392613,94.6050949
2.5031099,-1.3023973,1.2006127,3.8055072,94.5962524
2.4607394,-1.3300259,1.1306134,3.7907653,94.6752701
2.410583,-1.346428,1.0640548,3.7570109,94.7234421
2.5427272,-1.3417777,1.2008494,3.8845048,94.5796127
2.6918197,-1.3260758,1.3656437,4.0178952,94.5568237
2.6748712,-1.3371273,1.337644,4.0119987,94.6435928
2.6247149,-1.3535295,1.2710855,3.9782443,94.7126617
2.5830326,-1.3644059,1.2185268,3.9474385,94.790947
2.5328763,-1.380808,1.1519684,3.9136844,94.6967621
2.4827199,-1.3972101,1.0854098,3.87993,94.6809311
2.4318752,-1.4303645,1.0014106,3.8622396,94.7594528
2.5887535,-1.4258893,1.1627642,4.0146427,94.5281067
2.696852,-1.4043115,1.2924404,4.1011634,94.4999542
2.696852,-1.4043115,1.2924404,4.1011634,94.4999542
2.6714296,-1.4208887,1.2504408,4.0923181,94.6283493
2.6297474,-1.4317651,1.1978822,4.0615125,94.5920486
2.5880649,-1.4426415,1.1453235,4.0307064,94.5568237
2.5131745,-1.4588686,1.054206,3.9720433,94.6271515
2.4545441,-1.4807965,0.9736477,3.9353406,94.6271515
2.3881278,-1.4914978,0.89653,3.8796256,94.635231
2.4291217,-1.4973737,0.9316481,3.9264953,94.5789948
2.610734,-1.4930735,1.1175605,4.1038074,94.5079193
2.6192081,-1.4875478,1.1315603,4.1067557,94.4749451
2.5690517,-1.5039499,1.0650018,4.0730014,94.5718536
