ir,ia,iir,iia,i-lookup-690r,ii-lookup-690r,ir-690-r-test,iir-690-r-test,ir-750-c-test,iir-750-c-test,ir-800-l-test,iir-800-l-test,,iknee-a-690-test,iiknee-a-690-test,iknee-n-690-test,iiknee-n-690-test,,iknee-a-750-test,iiknee-a-750-test,iknee-n-750-test,iiknee-n-750-test,,iknee-a-690-lookup,iiknee-a-690-lookup
6695,0.86004,3169,0.19994,,,,,,,,,,,,,,,,,,,,,
6484,0.84077,3282,0.1779,,,,,,,,,,,,,,,,,,,,,
6266,0.83437,3449,0.095635,,,,,,,,,,,,,,,,,,,,,
5990,0.88622,3554,0.094442,,,,,,,,,,,,,,,,,,,,,
5768,0.89976,3679,0.074541,,,,,,,,,,,,,,,,,,,,,
5548,0.91964,3770,0.097674,,,,,,,,,,,,,,,,,,,,,
5355,0.92197,3884,0.098891,,,,,,,,,,,,,,,,,,,,,
5148,0.94549,3992,0.1109,,,,,,,,,,,,,,,,,,,,,
4985,0.93262,4147,0.077162,,,,,,,,,,,,,,,,,,,,,
4907,0.83901,4275,0.077222,,,,,,,,,,,,,,,,,,,,,
4710,0.8722,4369,0.11636,,,,,,,,,,,,,,,,,,,,,
4490,0.93914,4609,0.014662,,,,,,,,,,,,,,,,,,,,,
4336,0.94274,4717,0.048494,,,,,,,,,,,,,,,,,,,,,
4183,0.95185,4821,0.09,,,,,,,,,,,,,,,,,,,,,
4003,1,5026,0.041415,,,,,,,,,,,,,,,,,,,,,
3.89E+03,0.97262,5123,0.097592,,,,,,,,,,,,,,,,,,,,,
3.76E+03,0.97386,5352,0.039556,,,,,,,,,,,,,,,,,,,,,
3.69E+03,0.90393,5465,0.089784,,,,,,,,,,,,,,,,,,,,,
3.57E+03,0.91029,5618,0.10955,,,,,,,,,,,,,,,,,,,,,
3.47E+03,0.88076,5903,0.023932,,,,,,,,,,,,,,,,,,,,,
3.35E+03,0.89432,6124,0,,,,,,,,,,,,,,,,,,,,,
3.23E+03,0.90867,6217,0.083743,,,,,,,,,,,,,,,,,,,,,
3.07E+03,0.9911,6449,0.061931,,,,,,,,,,,,,,,,,,,,,
3.01E+03,0.93166,6700,0.032679,,,,,,,,,,,,,,,,,,,,,
2.94E+03,0.89782,6828,0.10257,,,,,,,,,,,,,,,,,,,,,
2.83E+03,0.91163,7120,0.055477,,,,,,,,,,,,,,,,,,,,,
2.75E+03,0.89398,7337,0.070605,,,,,,,,,,,,,,,,,,,,,
2.70E+03,0.84141,7543,0.099476,,,,,,,,,,,,,,,,,,,,,
2.62E+03,0.8395,7794,0.10275,,,,,,,,,,,,,,,,,,,,,
2.55E+03,0.81308,8094,0.079564,,,,,,,,,,,,,,,,,,,,,
2.46E+03,0.83835,8336,0.10275,,,,,,,,,,,,,,,,,,,,,
2.44E+03,0.74302,8663,0.077064,,,,,,,,,,,,,,,,,,,,,
